0,0.914955455,0.456073636,0.246927273,0.150540909
5,25.6364,39.8636,59.5,67.15
10,37.5,67.9091,95.2727,132.75
15,43.1364,87.0909,146.5909,210.35
20,57.1818,99.6364,161.6818,198.85
25,71,103.2727,176.4545,289.85
30,73,119.0909,183.7727,250.35
35,82.6818,134.9091,198,264.4
40,87,126.9091,183.3182,238.6
45,90.8636,127.4091,183.5909,264.4
50,90.8182,127.1818,168.6364,251.4
55,94.8182,122.8182,183.6364,236.85
60,96.8636,135.4091,212.9545,290.5
65,104.5455,142.9545,184.1364,250.6
70,114.4545,155.1364,205.1818,250.3
75,108.8182,146.9091,212.7727,251.3
80,124.4091,159.2273,220.6818,224.75
85,128.6364,170.6818,205.3636,196.7
90,134.5,167.0909,198.3636,198.45
95,142.3182,163.1818,191.2727,198.15
100,134.6364,162.9091,146.3636,145.7
